CLASS, class
IDENTIFIER, Main
LT_BRACE, {
PUBLIC, public
STATIC, static
VOID, void
MAIN, main
LT_PAREN, (
IDENTIFIER, String
LT_BRACK, [
RT_BRACK, ]
IDENTIFIER, args
RT_PAREN, )
LT_BRACE, {
IDENTIFIER, mc
EQ, =
NEW, new
IDENTIFIER, MyClient
LT_PAREN, (
RT_PAREN, )
SEMI, ;
WHILE, while
LT_PAREN, (
EXC, !
FALSE, false
RT_PAREN, )
LT_BRACE, {
IDENTIFIER, handle
EQ, =
IDENTIFIER, mc
DOT, .
IDENTIFIER, start
LT_PAREN, (
INTEGER_LITERAL, 10
COMMA, ,
INTEGER_LITERAL, 10
RT_PAREN, )
SEMI, ;
RT_BRACE, }
RT_BRACE, }
RT_BRACE, }
